district,year,dem_candidate,rep_candidate,actual_dem_pct,baseline_dem_pct,overperformance,pvi_cycles,baseline_ok,two_party_votes,incumbency,inc_signed,candidate_quality,local_trend,fin_log2_dr,d_receipts,r_receipts,is_midterm,finance_controlled,expected_from_factors,unexplained_residual
ld28,2024,MARI LEAVITT,GABE SACHWITZ,58.52,57.02,1.5,2,True,59169,D-INC,3.5,2.0,1.29,3.49,290771.47,25940.14,0,True,5.41,-3.91
ld29,2018,MELANIE MORGAN,TERRY HARDER,61.12,59.02,2.1,1,True,36849,D-INC,3.5,-2.0,0.0,6.24,133699.65,1774.25,1,True,4.16,-2.06
ld29,2020,MELANIE MORGAN,KOSHIN MOHAMED FIDAAR,63.85,59.02,4.83,1,True,57379,D-INC,3.5,2.0,0.19,,92488.4,,0,False,3.87,0.96
ld29,2022,MELANIE MORGAN,BRETT JOHNSON,56.99,58.96,-1.97,2,True,38188,D-INC,3.5,0.0,0.18,0.05,91549.6,88580.0,1,True,2.01,-3.98
ld30,2018,MIKE PELLICCIOTTI,LINDA KOCHMAR,53.13,47.78,5.35,1,True,1854,OPEN,0,-3.0,0.0,2.56,156362.66,26467.13,1,True,1.22,4.13
ld30,2020,JESSE JOHNSON,JACK WALSH,60.33,47.78,12.55,1,True,62889,OPEN,0,0.0,2.06,,169342.38,,0,False,3.77,8.78
ld30,2022,JAMILA E. TAYLOR,CASEY JONES,55.4,51.74,3.66,2,True,42155,OPEN,0,0.0,3.0,,334646.53,,1,False,4.48,-0.82
ld30,2024,JAMILA E. TAYLOR,MELISSA HAMILTON,56.22,49.69,6.53,2,True,54647,D-INC,3.5,0.0,-2.24,3.06,201096.21,24190.01,0,True,1.72,4.81
ld31,2018,VICTORIA MENA,DREW STOKESBARY,40.3,42.99,-2.69,1,True,43924,R-INC,-4.0,-2.0,0.0,,46862.01,,1,False,0.63,-3.32
ld31,2020,KATIE YOUNG,DREW STOKESBARY,36.48,42.99,-6.51,1,True,85823,OPEN,0,0.0,-2.83,-4.66,12302.36,311821.85,0,True,-3.29,-3.22
ld31,2022,HOLLY STANTON,DREW STOKESBARY,39.9,39.64,0.26,2,True,64971,R-INC,-4.0,2.0,-1.7,-5.1,8647.75,296304.61,1,True,-2.59,2.85
ld31,2024,SARA SUTTERFIELD,DREW STOKESBARY,36.31,41.02,-4.71,2,True,81088,OPEN,0,-2.0,1.07,,,408795.1,0,False,2.2,-6.91
ld32,2018,CINDY RYU,DIODATO (DIO) BOUCSIEGUEZ,69.73,68.8,0.93,1,True,28313,D-INC,3.5,2.0,0.0,,85358.13,,1,False,3.73,-2.8
ld32,2022,LAUREN DAVIS,ANTHONY HUBBARD,79.51,68.58,10.93,2,True,63312,D-INC,3.5,-2.0,0.31,,72704.92,,1,False,2.29,8.64
ld32,2024,CINDY RYU,LISA REZAC,74.29,69.58,4.71,2,True,78105,D-INC,3.5,2.0,2.62,3.71,164816.76,12584.57,0,True,6.52,-1.81
ld33,2022,KAREN KEISER,MARLIZA MELZER,69.22,48.65,20.57,0,False,43818,D-INC,3.5,2.0,0.0,5.14,274855.16,7779.95,1,,,
ld33,2024,TINA L. ORWALL,GEORGE RICHTER,69.06,50.0,19.06,0,False,56321,D-INC,3.5,2.0,0.0,,141397.96,,0,,,
ld34,2022,JOE NGUYEN,JOHN POTTER,86.19,48.65,37.54,0,False,69283,OPEN,0,0.0,0.0,,168131.35,,1,,,
ld34,2024,EMILY ALVARADO,KIMBERLY M. CLOUD,85.03,50.0,35.03,0,False,82580,OPEN,0,2.0,0.0,,72342.66,,0,,,
ld35,2018,JAMES THOMAS,DAN GRIFFEY,42.27,47.62,-5.35,1,True,65077,R-INC,-4.0,-3.0,0.0,-3.55,8749.18,102635.85,1,True,-2.62,-2.73
ld35,2020,COLTON MYERS,DAN GRIFFEY,41.6,47.62,-6.02,1,True,84445,R-INC,-4.0,-2.0,0.0,-0.59,63527.12,95893.14,0,True,-0.71,-5.31
ld35,2022,JAMES DEHART,DANIEL GRIFFEY,40.94,44.7,-3.76,2,True,74397,R-INC,-4.0,-2.0,-1.49,-2.42,26803.24,143183.74,1,True,-2.75,-1.01
ld35,2024,JAMES DEHART,TRAVIS COUTURE,41.35,47.77,-6.42,2,True,88333,R-INC,-4.0,-2.0,0.67,-1.98,32307.2,127206.19,0,True,-0.91,-5.51
ld36,2024,LIZ BERRY,VICTORIA PALMER,88.89,50.0,38.89,0,False,92478,D-INC,3.5,2.0,0.0,4.27,170546.71,8826.4,0,,,
ld37,2022,SHARON TOMIKO SANTOS,JOHN DICKINSON,91.36,48.65,42.71,0,False,59200,D-INC,3.5,2.0,0.0,,102586.12,,1,,,
