district,verification,winner_name,winner_party_OBSERVED,winner_votes,party_source,retired_imputed_party,imputation_was_correct,pres_margin_D_minus_R,classification,reason_absent_from_TLC
85,certified: single candidate on the SoS results service,STAN KITZMAN,R,75040,OBSERVED from certified returns,R,True,-42.3,no major-party choice,TLC omits uncontested races at every stage
86,certified: single candidate on the SoS results service,JOHN SMITHEE,R,68942,OBSERVED from certified returns,R,True,-62.3,no major-party choice,TLC omits uncontested races at every stage
88,certified: single candidate on the SoS results service,KEN KING,R,54093,OBSERVED from certified returns,R,True,-71.0,no major-party choice,TLC omits uncontested races at every stage
90,certified: single candidate on the SoS results service,RAMON ROMERO JR,D,35674,OBSERVED from certified returns,D,True,27.3,no major-party choice,TLC omits uncontested races at every stage
91,certified: single candidate on the SoS results service,DAVID LOWE,R,53970,OBSERVED from certified returns,R,True,-22.1,no major-party choice,TLC omits uncontested races at every stage
92,certified: single candidate on the SoS results service,SALMAN BHOJANI,D,35274,OBSERVED from certified returns,D,True,15.5,no major-party choice,TLC omits uncontested races at every stage
95,certified: single candidate on the SoS results service,NICOLE COLLIER,D,43827,OBSERVED from certified returns,D,True,41.9,no major-party choice,TLC omits uncontested races at every stage
100,certified: single candidate on the SoS results service,VENTON JONES,D,34119,OBSERVED from certified returns,D,True,55.4,no major-party choice,TLC omits uncontested races at every stage
102,certified: single candidate on the SoS results service,ANA-MARIA RAMOS,D,35788,OBSERVED from certified returns,D,True,20.4,no major-party choice,TLC omits uncontested races at every stage
103,certified: single candidate on the SoS results service,RAFAEL ANCHIA,D,40330,OBSERVED from certified returns,D,True,35.0,no major-party choice,TLC omits uncontested races at every stage
104,certified: single candidate on the SoS results service,JESSICA GONZALEZ,D,33295,OBSERVED from certified returns,D,True,25.5,no major-party choice,TLC omits uncontested races at every stage
107,certified: single candidate on the SoS results service,LINDA GARCIA,D,29546,OBSERVED from certified returns,D,True,18.7,no major-party choice,TLC omits uncontested races at every stage
109,certified: single candidate on the SoS results service,AICHA DAVIS,D,56138,OBSERVED from certified returns,D,True,52.6,no major-party choice,TLC omits uncontested races at every stage
110,certified: single candidate on the SoS results service,TONI ROSE,D,30618,OBSERVED from certified returns,D,True,56.6,no major-party choice,TLC omits uncontested races at every stage
111,certified: single candidate on the SoS results service,YVONNE DAVIS,D,53039,OBSERVED from certified returns,D,True,51.5,no major-party choice,TLC omits uncontested races at every stage
120,certified: single candidate on the SoS results service,BARBARA GERVIN-HAWKINS,D,38208,OBSERVED from certified returns,D,True,26.1,no major-party choice,TLC omits uncontested races at every stage
123,certified: single candidate on the SoS results service,DIEGO BERNAL,D,44043,OBSERVED from certified returns,D,True,27.1,no major-party choice,TLC omits uncontested races at every stage
125,certified: single candidate on the SoS results service,RAY LOPEZ,D,48251,OBSERVED from certified returns,D,True,15.1,no major-party choice,TLC omits uncontested races at every stage
131,certified: single candidate on the SoS results service,ALMA A. ALLEN,D,36948,OBSERVED from certified returns,D,True,48.7,no major-party choice,TLC omits uncontested races at every stage
133,certified: single candidate on the SoS results service,MANO DEAYALA,R,54283,OBSERVED from certified returns,R,True,-7.2,no major-party choice,TLC omits uncontested races at every stage
135,certified: single candidate on the SoS results service,JON E. ROSENTHAL,D,43114,OBSERVED from certified returns,D,True,8.0,no major-party choice,TLC omits uncontested races at every stage
139,certified: single candidate on the SoS results service,CHARLENE WARD JOHNSON,D,46196,OBSERVED from certified returns,D,True,38.7,no major-party choice,TLC omits uncontested races at every stage
140,certified: single candidate on the SoS results service,ARMANDO LUCIO WALLE,D,22272,OBSERVED from certified returns,D,True,17.2,no major-party choice,TLC omits uncontested races at every stage
141,certified: single candidate on the SoS results service,SENFRONIA THOMPSON,D,32492,OBSERVED from certified returns,D,True,51.1,no major-party choice,TLC omits uncontested races at every stage
142,certified: single candidate on the SoS results service,HAROLD V. DUTTON JR,D,41430,OBSERVED from certified returns,D,True,38.2,no major-party choice,TLC omits uncontested races at every stage
143,certified: single candidate on the SoS results service,ANA HERNANDEZ,D,27796,OBSERVED from certified returns,D,True,13.9,no major-party choice,TLC omits uncontested races at every stage
144,certified: single candidate on the SoS results service,MARY ANN PEREZ,D,26617,OBSERVED from certified returns,R,False,-2.9,no major-party choice,TLC omits uncontested races at every stage
145,certified: single candidate on the SoS results service,CHRISTINA MORALES,D,46104,OBSERVED from certified returns,D,True,33.3,no major-party choice,TLC omits uncontested races at every stage
